id,filter,text_JP,text
secureWidth_tip,config,スクリーンの横幅が1280ピクセルに満たない場合、HUDの要素がはみ出ないよう自動的にUIを縮小します。,"When the screen width is below 1280 pixels, automatically scales down the UI to show all the HUD elements."
SFX,config,効果音,SFX
sharpen,config,鮮明化(追加),Sharpen(Extra)
sharpen2,config,鮮明化,Sharpen
showDmg,config,ダメージ等を数値で表示する,Show damage numbers
showDmgStack,config,ダメージをスタックして表示する,Stack damage numbers
showMenuText,config,メニューテキストの表示,Show menu text
showMouseInfo,config,カーソル位置情報の表示,Show Cursor Coordinate
highlightEnemy,config,敵対NPCにハイライトを表示する,Show highlights for hostile NPCs
antiSpider,config,蜘蛛恐怖症対策モード,Arachnophobia Mode
showOffhand,config,オフハンドの装備を表示,Show offhand Equipment
autoHideWeapon,config,非戦闘時に武器を隠す,Hide weapons when not in combat
showTest,config,実験的オプションを表示(サポート対象外),Show experimental options(Unsupported)
showTooltip,config,ヒントを表示,Show Tooltip
showWeather,config,天気を表示,Show weather
showZoneName,config,ゾーン名の表示,Show zone name
sizeDefault,config,小さめ,Smaller
sizeL,config,通常サイズ,Default Size
sizeLL,config,大きめ,Bigger
sizeLLL,config,すごく大きい,Extra Big
sizeLLLL,config,最大,The Biggest
sizeS,config,すごく小さい,The Smallest
advancedMenu,config,高度なメニューを表示する,Show advanced menus
advancedMenu_tip,config,"ゲーム内のインタラクションやコンテナの設定で
通常は表示されない項目を表示します。
ゲームに慣れてきたらオンにしてみましょう。","Display normally hidden items in interactions and container settings.
Turn this on once you become familiar with the game."
smoothFollow,config,スムーズな追尾カメラ,Smooth follow Camera
smoothMove,config,スムーズな移動フレーム,Smooth Move Frames
smoothScroll,config,スムーススクロール,Smooth scroll
snapType,config,ピクセルスナップ,Pixel Snap
special,config,特殊,Special
speed,config,速度,Speed
testTab,config,実験的,Experimental
topbarStyle,config,スタイル,Style
net_config,config,ネットワーク機能,Network
net_sendEvent,config,ゲーム内イベントの送信,Send in-game events
net_noAdult,config,ムーンゲートで大人用マップに行かない,Don’t visit adult maps via moongate
net_sendEvent_tip,config,"死亡時や願い時に自動的にイベントの内容を送信します。
イベントはゲーム内新聞などで他のプレイヤーに表示されます。","Events will be automatically sent at the time of death or wishing.
These events will be displayed to other players through in-game newspapers and such."
ui,config,ユーザーインタフェース,User Interface
uiAutoscale,config,UIサイズの自動調整,Auto scale UI
uiBrightness,config,UI明度,UI Brightness
uiContrast,config,UIコントラスト,UI Contrast
uiScale,config,UI 拡大,UI Scale
unlimited,config,無制限,Unlimited
unsealWidgets,config,システムウィジェットの制限解除,Unseal system widgets
altExamine,config,アイテムを調査時、キーを押している間だけウィンドウを開く,Open the item examine window only while holding down the examine key
unsealWidgets_tip,config,"*危険* システム系のウィジェットをいじれるようになります。
おかしいことになった時は、ESCからウィジェットマネージャーを開き
リセットしてください。","*Unsafe* Enables editing system widgets.
When things go wrong, hit Escape, open Widget Manager
and reset widgets."
moveTiming_tip,config,"マウス移動時の入力時間を延長し、操作性を向上させます。
ただし、移動を途中でキャンセルした時に、ゲーム内でターンが消化されます。","Enabling it will extend the input time when moving with the mouse to improve operability.
However, if the movement is canceled midway, a turn will be consumed in the game."
compressSave,config,セーブデータを圧縮する,Compress Save Data
compressSave_tip,config,"セーブデータを圧縮することで
ファイル容量を節約し読み込みを高速化します。",Compressing save data reduces file size and speeds up loading.
useAbilityOnHotkey,config,ターゲット不要のアビリティはホットキーで直接使用する,Use self-target abilities directly via hotkeys
useBlur,config,背景のブラーエフェクト,Background blur effect
vibrance,config,ヴィブランス,Vibrance
vignette,config,ビネット,Vignette
volume,config,ボリューム,Volume
warnCrime,config,犯罪をする時に確認ダイアログを表示する,Show warning when committing a crime
warnGive,config,アイテムを渡す時に確認ダイアログを表示する,Show warning when giving an item
warnings,config,確認と警告,Warning
warnMana,config,マナの限界を超える時に確認ダイアログを表示する,Show warning when exceeding mana
warnDisassemble,config,アイテムを解体する時に確認ダイアログを表示する,Show warning when disassembling an item
rideSetting,config,騎乗表示,Display Mount
rideOption1,config,常に表示,"Always show "
rideOption2,config,室外でのみ表示,Show only on the exterior
rideOption3,config,騎乗グラフィックを表示しない,Don't show
zoomToMouse,config,カーソル位置にズーム,Zoom to cursor
_configOf,"config ",#1の設定,#1 Config
backerContent,"config ",バッカーコンテンツとムーンゲート,Backer Contents and Moongate
extraRace,config,追加の種族と職業,Extra Races and Classes
extraRaceAll,config,さらなる追加の種族と職業,More extra races and classes
extraRace_tip,config,"熟練冒険者向けのエキストラ種族と職業が選択できるようになります。
特殊なものも多いので、まずは初期種族と職業で冒険に慣れることをお勧めします。","Turn this on to unlock extra races and classes for seasoned adventurers.
With an array of unique choices, it is recommended that you first become comfortable
with the adventure using the starting races and classes."
screenExtraHeight,config,描画範囲の拡張,Extra Render Range
screenExtraHeight_tip,config,"通常のプレイでは問題ありませんが、極端に高い場所では描画が乱れることがあります。
このオプションで描画範囲を広げることで改善できますが、広げるほど描画負荷が増します。 ","Normally, this option isn’t needed, but at extremely high altitudes the graphics may become distorted.
Expanding the render range can improve this, though doing so will also increase rendering load."
focusNext,context,フォーカス,Focus
muteBGM,context,BGMをミュート,Mute BGM
nextBGM,context,次のBGM,Next BGM
showBalloon,context,バルーン表示,Show Balloons
system,context,システム,System
ToggleRoof,context,屋根表示切り替え,Toggle Roof
ToggleWall,context,壁切り替え,Toggle Wall
costSP,craft,消費スタミナ,Stamina Cost
craft,craft,製作,Craft
craftNote,craft,#1 (所持: #2  未回収: #3),#1 (Stock: #2  Roaming: #3)
craftQuality,craft,品質 +#1  難易度 +#2%,Quality +#1  Difficulty +#2%
craftTo,craft,目標値,Craft To
haveStock,craft,所持数: #1,Stock: #1
headerDifficulty,craft,難易度,Difficulty
lackIng,craft,#1 (所持: #2  必要: #3),#1 (Stock: #2  Req: #3)
moveDown,craft,↓ 下へ,↓ Move down
moveUp,craft,↑ 上へ,↑ Move up
noReqSkill,craft,スキル要求なし,No required skills
queues,craft,製作中のアイテム,Queues
repeat,craft,リピート,Repeat
resumeTask,craft,再開する,Resume task
suspendTask,craft,一時停止する,Suspend task
tRepeat,craft,"設定がオンの場合、製作対象の所持数が指定個数に達するまで作り続けます。
また、このタスクは削除するまで残り続けます。","When turned on, the item is crafted until  the stock reaches the designated number.
This task will remain until manually deleted."
dateDay,date,#1日,#1 Day#(s)
dateDayVoid,date," - "," - "
dateHour,date,#1時間,#1 Hour#(s)
dateSchedule,date,#1 #2日,#1 #2
dateYearMonthDay,date,#1年 #2月#3日,"#2/#3, #1"
confirm,dialog,確認,Confirm
dialog_switchCloud,dialog,"セーブデータの形式を変更しますか？
クラウド変換は、バックアップデータの
数によっては数分間かかることがあります。","Really change the format of this save data?
Converting to the cloud may take several minutes,
depending on the number of backup files."
dialog_changeDifficulty,dialog,"本当に「#1」を破棄する？
<color=red>(変更は取り消せない)</color>","Really break your #1?
<color=red>(This cannot be undone.)</color>"
dialog_feedbackTooMany,dialog,"フィードバックが増加しているため 
試験的に、フィードバックはNightlyビルドから
現在受け付けています。","Due to the high volume of feedback,
we are currently testing a process
to accept feedback via Nightly builds."
dialog_rope,dialog,本当に首を吊る？,Really hang yourself?
dialog_restoreWarning,dialog,"本当にこのデータを復元して、現在の世界に上書きする？
<color=red>（現在の世界のセーブデータは失われる）</color>","Really restore this data and overwrite the current world?
<color=red>(The save data of the current world will be lost)</color>"
dialog_needToLogOn,dialog,Steamにログオンしている必要があります。,You must be logged in to Steam.
dialog_debugFeedback,dialog,"デバッグモードになっているためフィードバックは送信できません。
デバッグモードは開発・検証用の機能のため
正常なゲームの進行に支障をきたすことがあります。","Feedback cannot be sent as the game is currently in debug mode.
Debug mode is a development and testing feature
and may interfere with normal game progression "
dialog_abandonQuest,dialog,本当に依頼を破棄する？,Really abandon this quest?
dialog_deleteMapPiece,dialog,本当にこの建設図を消す？,Really delete this building blueprint?
dialog_removeGene,dialog,本当にこの遺伝子を消す？,Really remove this gene?
dialog_caption,dialog,確認,Confirmation
dialog_relocateLand,dialog,本当にこの場所に移転する？,Really relocate to this location?
dialog_claimLand,dialog,本当にこの土地の権利を獲得する？,Really claim this land?
dialog_deleteMap,dialog,本当にこの場所を地図から消す？,Really delete this location from the map?
dialog_gotoTitle,dialog,セーブしてタイトルに戻る？,Save the game and go back to title?
dialog_keymap,dialog,"「#1」に割り当てるキーを押してください。
(ESCでキャンセル、DELキーで削除)","Press a key to assign an action [#1].
(Press ESC to cancel, press Del to remove)"
dialog_quit,dialog,セーブしてゲームを終了する？,Save the game and exit?
dialogBuyFeat,dialog,"本当にフィートポイントを#1消費して
「#2」を獲得する？","Really spend #1 feat point#(s)
to acquire #2?"
dialogCancelAct,dialog,行動を中断する？,Cancel current action?
dialogChangeLang,dialog,"言語の変更を適用するには
ゲームを再起動してください。","Please restart the game
to apply the language."
dialogDeleteGame,dialog,本当に世界を削除する？,Do you wish to delete the world?
dialogDeleteRecruit,dialog,"本当にこの移住希望者の
個人情報を消す？","Really remove the personal information
of this recruit?"
dialogGive,dialog,本当に#1を渡す？,Really give #1?
dialogInvalidTheme,dialog,デフォルトのテーマは上書きできない。,Default theme cannot be overwritten.
dialogBackerCode,dialog,特典コードを入力してください（CTRL+Vで貼り付け）,Enter Backer Reward Code (CTRL+V to paste)
dialogOffer,dialog,本当に#1を捧げる？,Really offer #1?
dialogOpenCredit,dialog,credit.txtをテキストエディタで開く？,Open credit.txt in text editor?
dialogResetConfig,dialog,全ての設定を初期状態に戻す？,Do you wish to reset all settings?
dialogResetConfigTab,dialog,#1設定を初期状態に戻す？,Do you wish to reset #1 settings?
dialogResetWidget,dialog,"全てのウィジェットの位置と設定を
初期状態に戻す？",Do you want to reset widgets?
dialogResetWindow,dialog,"全てのウィンドウのサイズと位置を
初期状態に戻す？","Do you wish to reset sizes and 
positions of all windows?"
dialogSaveTheme,dialog,テーマを保存した。,Successfully saved.
dialogSetHome,dialog,この場所をホームゾーンに設定する？,Really set this place as your home zone?
dialogAbandonHome,dialog,本当にこの土地の権利を手放す？,Really abandon this land?
dialogSleep,dialog,寝る？,Sleep?
dialogWriteNote,dialog,何と書く？,Write what?
dialogLastword,dialog,遺言は？,Your last words.
featMode,dialog,フィートの取得(#1),Acquire Feat(#1)
headerGift,dialog,ギフト,Gift
rewardFarris,dialog,唄い手の冷ややかな視線 x1,icy stares of the talesinger x1
rewardNone,dialog,(なし),(None)
warn_mod_yes,dialog,Modを無効化して確認する,Disable mods to check for issues.
warn_mod_no,dialog,そのまま送信する,Send as is.
warn_mod,dialog,"現在#1個のModが有効化されています。
Modを有効化している場合、特にゲーム本体のアップデート直後に
エラーやセーブデータが読み込めない問題が起こる可能性があります。

Modは設定＞その他、もしくはModビューアーから
一括で無効化することができます。","Currently, #1 Mods are enabled.
When mods are active, issues such as errors or the inability to
load save data may occur, especially right after a game update.

You can disable all mods at once
through Settings > Other or the Mod Viewer."
warn_linuxMod,dialog,"Steam DeckやLinuxではModが読み込まれない場合があります。

公式サイトで解決方法を表示しますか？","Mods may not load on Steam Deck or Linux.
  
Would you like to view the solution on the official website?"
warn_parallels,dialog,"<b>Parallels</b>を使用してElinをプレイする場合
マップグラフィックが表示されない既知の問題があります。

公式サイトで解決方法を表示しますか？","When playing Elin using <b>Parallels</b>,
there is a known issue where map graphics may not display.

Would you like to view the solution on the official website?"
warn_crime,dialog,本当に法を破る？,Really commit a crime?
warn_mana,dialog,本当にマナの限界を超えて詠唱する？,Really cast a spell over your limit?
warn_disassemble,dialog,本当にそれを破壊する？,Really disassemble it?
warn_slaughter,dialog,"ユニークではない家畜は永久に失われる。
本当に#1を屠殺する？","Non-unique livestock will be lost.
Really slaughter #1?"
yes_dontask,dialog,ああ、確認は必要ない,Yes and don't ask again.
no_dontask,dialog,いや （以降確認をスキップ）,No. (Skip further confirmation)
yesAndSkip,dialog,ああ （以降確認をスキップ）,Yes. (Skip further confirmation)
disableMove,drama,ここで待機して欲しい,I want you to wait here.
enableMove,drama,もう待機する必要はない,You can move now.
bye,drama,さようなら,Bye.
hintDeadline,drama," <size=14>(残り#1)</size>"," <size=14>(#1 left)</size>"
daAccept,drama,承諾する,I accept.
daMakeHome,drama,この土地に移住して欲しい,Migrate to this land.
daShutup,drama,黙らせる,Shut up.
daShutup2,drama,喋らせる,You can speak now.
daMarry,drama,結婚してくれ！  <size=14>(#1)</size>,Marry me!  <size=14>(#1)</size>
daSleepBeside,drama,添い寝して欲しい,I want you to sleep beside me.
daSleepBeside2,drama,添い寝をやめたい,I don't want you to sleep beside me.
daDisableLoyal,drama,仲間をかばわないで欲しい,I don’t want you to protect your comrades.
daDisableLoyal2,drama,仲間をかばって欲しい,I want you to protect your comrades.
daSuck,drama,吸って欲しい,I want you to suck me.
daInsult,drama,罵倒して欲しい,I want you to insult me.
daInsult2,drama,罵倒をやめて欲しい,I want you to stop insulting me.
daGuide,drama,道案内を頼む,Where is...
daChangeDomain,drama,専門領域を変えたい,I want to change domain specializations.
daCopyItem,drama,複製するアイテムを登録したい(最大#1個),I want to register items to copy. (Max #1)
daCopySpellbook,drama,魔法書を予約したい(最大#1冊),I want to reserve spellbooks. (Max #1)
daBanish,drama,追放する,I'm going to banish you.
daBlessing,drama,加護を受けたい,Give me blessings.
daBorrowBook,drama,本を借りたい,I want to borrow some books.
daBout,drama,手合わせを願いたい,I want to challenge you.
daExchangeChip,drama,景品を見たい,Show me the prizes.
daSellFame,drama,名声を売りたい,I want to sell my fame
daFactionOther,drama,実は…,Actually...
daEquipSharedOn,drama,共有装備を使ってもいい,You can use shared equipment.
daEquipSharedOff,drama,共有装備は使わないでほしい,Don't use shared equipment.
daNothing,drama,なんでもない,Nothing.
daGreatDebt,drama,借金返済の手助けをしたい,Let me help you with your debt.
daGreatDebt2,drama,借金の請求書を失くしてしまった,I lost your debt bill.
daBuy,drama,売買したい,Show me your wares.
daBuyLand,drama,土地を拡張できるか？,I want to expand my land.
daBuyMap,drama,地図を買う,I want to buy maps.
daBuyPlat,drama,プラチナ硬貨を交換する,I want to trade platinum coins.
daBuyMedal,drama,小さなメダルを交換する,I want to trade small medals.
daBuyPlan,drama,計画書を買う,I want to buy research plans.
daBuySlave,drama,奴隷を買う,I want to buy a slave.
daBuyPet,drama,ペットを買う,I want to buy a pet.
daBuyStarter,drama,ホーム備品を買う,Let me see your home equipment.
daChangeTitle,drama,敬称を考えてほしい,Think of a nice title for me.
daDecline,drama,拒否する,I decline.
daUpgradeHearth,drama,盟約の石を強化したい,I want to upgrade the hearth stone.
daMakeMaid,drama,メイドになってほしい,I want you to become my maid.
daDeliver,drama,頼まれた品を届ける <size=14>(#2)</size>,I have the requested stuff. <size=14>(#2)</size>
daLostProperty,drama,落とし物を渡す <size=14>(#1)</size>,I found a lost property. <size=14>(#1)</size>
daDeposit,drama,預ける,I want to deposit my money.
daExtraTax,drama,ミシリアに追加納税したい,I want to pay additional taxes to Mysilia.
daFood,drama,食事をとる,Bring me something to eat.
daGive,drama,贈る,I have something for you.
daGoto,Drama,#1を知っているか？ (#2),Do you know #1? (#2)
daGotoGuide,Drama,#1,Where is #1?
daNews,drama,耳寄りな情報はないか？,"Any good news to share? "
daHeal,drama,治療して欲しい,I need healing.
daHire,drama,雇いたい,You are hired.
daBloom,drama,#1との絆を深める,I want to deepen my bond with #1.
daPicklock,drama,#1の解錠を頼む,I want you to picklock #1.
daIdentify,drama,鑑定を頼む,I want you to identify an item.
daIdentifyAll,drama,全ての所持品の鑑定を頼む,Identify all of my stuff.
daIdentifySP,drama,アーティファクトの鑑定を頼む,I need you to identify an artifact.
daInvest,Drama,投資したい,I want to invest.
daInvite,drama,共に暮らさないか？,Come and live with us.
daJoinParty,drama,仲間に誘う,Join me!
daLeaveParty,drama,ホームで待機しろ (#1),Wait at your home. (#1)
daMakeLivestock,drama,家畜にする,Make Livestock
daMakeLivestock2,drama,家畜にする(#1後可能),Make Livestock(Locked for #1)
daMakeResident,drama,住人にする,Make Resident
daMeeting,drama,来訪者と会う (#1),Arrange a meeting. (#1)
daQuest,drama,「#1」について,"I came for ""#1""."
daRevive,drama,仲間を呼び戻してほしい,Call back my allies.
daSell,drama,売りたい,I have something to sell.
daStoryFiama,drama,話を聞く,I will listen.
daTail,drama,気持ちいいことしない？,Interested in a little tail t'night?
daTrade,drama,交換する,Let's trade.
daTrain,drama,訓練したい,Train me.
daUpgradeHome,drama,#1オレンを渡す(ホーム発展),Give #1 orens. (Home Upgrade)
daTailBuy,drama,暗い場所に移ろう,I'll buy you.
daBird,drama,鳥を眺めにいかない？,Interested in watching birds?
daBirdBuy,drama,一緒に鳥を眺めよう,Let's go watch birds.
depart,drama,別れたい,I'm going to abandon you.
depart1,drama,ああ,Yes.
depart2,drama,考え直す,On the second thought...
deWithdraw,drama,引き出す,I want to withdraw my money.
letsTalk,drama,話がしたい,Let's talk.
captionEditBio,editBio,キャラ編集,Edit Chara
charaData,editBio,キャラクターの編集,Character Edit
togglePlaylist,EditPlaylist,昼夜切り替え,Toggle Day
advanced,embark,オプション,Options
altarPoint,embark,#1の祭壇,Altar of #1
createWorld,embark,決定,Create
elevation,embark,起伏,Elevation
eraText,embark,N.D.#1,N.D.#1
extent,embark,広さ,Extent
fellows,embark,仲間,Members
groundHeight,embark,標高,Height
homeName,embark,コム名称,Comm Name
homeSetting,embark,コム設定,Comm Setting
homeType,embark,積荷タイプ,Supply Type
landPrice,embark,地価,Land Price
mapBalanced,embark,バランス,Balanced
mapPlains,embark,平野,Plains
mapSetting,embark,マップ設定,Map Setting
mapSize,embark,サイズ,Size
mapType,embark,地形タイプ,Geo Type
playerAlias,embark,敬称,Title
previewMap,embark,土地を選択,Preview Maps
region,embark,地域,Region
reroll,embark,リロール,Reroll
seed,embark,マップシード,Map Seed
setEmbarkPoint,embark,目的地に設定,Set Embark Point
startRegion,embark,ノースティリス,North Tyris
toggleCustomMap,embark,自動生成マップを使う,Use Procedural Map
toggleSkipQuest,embark,初期クエストをスキップ,Skip initial quests
sub_faction,faction,ファクション,Faction
sub_guild,faction,ギルド,Guild
f_click,feed,わぁ…,Wow...
f_joinNerun,feed,人手が増えたわね,More workforce!
f_noHotitem,feed,ホットスロット#1には何も登録されていないわよ,Hotbar slot #1 is empty
f_regHotbar,feed,現在地をホットスロット#1に登録した,The current position is registered to hotbar slot #1
h_filter,feed,#1を表示するわ,"Displaying ""#1"" now"
showChat,feed,チャットを表示,Show chat
claimLand,game,土地を獲得,Claim Land
hand,game,素手,Hands
weatherCloudy,game,曇り,Cloudy
weatherEther,game,エーテル,Ether
weatherFine,game,晴れ,Sunny
weatherBlossom,game,花吹雪,Blossoms
weatherRain,game,雨,Rain
weatherRainHeavy,game,大雨,Heavy Rain
weatherSnow,game,雪,Snow
weatherSnowHeavy,game,大雪,Heavy Snow
AllAction,gameFunc,全ての行動表示,All Action Menu
EmuAlt,gameFunc,Altキー,Alt Key
EmuShift,gameFunc,シフトキー,Shift Key
Focus,gameFunc,フォーカス,Focus
QuickMenu,gameFunc,リングメニュー,Ring Menu
ShowAbility,gameFunc,アビリティ,Ability
OpenAllyInv,gameFunc,対象のインベントリ,Open Ally Inventory
Talk,gameFunc,話す,Talk
ShowChara,gameFunc,キャラクター,Character
ShowInv,gameFunc,インベントリ,Inventory
ShowJournal,gameFunc,ジャーナル,Journal
ToggleLog,gameFunc,ログ切り替え,Toggle Log
Fire,gameFunc,射撃/ターゲット,Fire/Target
SwitchHotbar,gameFunc,ホットバー切り替え,Switch Hotbar Page
EmptyHand,gameFunc,持っているものを外す,Empty Hand
ToggleBuild,gameFunc,ビルドモード,Build Mode
ToggleLowWall,gameFunc,低壁モード切り替え,Toggle Low Wall
ToggleNoRoof,gameFunc,屋根切り替え,Toggle Roof
ToggleZoom,gameFunc,ズーム,Zoom
brother,gender,お兄ちゃん,onii-chan
sister,gender,お姉ちゃん,onee-chan
female,gender,女性,female
gay,gender,中性,gay
male,gender,男性,male
summary,general,サマリー,Summary
_listOf,header,#1の一覧,List of #1
author,header,作者,Author
modVersion,header,バージョン,Version
attribute,header,属性,Attribute
candidates,header,候補,Candidates
category,header,カテゴリ,Category
contents,header,コンテンツ,Contents
details,header,詳細,Details
headerAbility,header,アビリティ名,Ability Name
headerAbility2,header,パワー/ストック,Power/Stock
headerAttackEval,header,攻撃評価,Attack Evaluation
headerAttackAmmo,header,装填中,Attachment
headerCost,header,コスト,Cost
headerItem,header,アイテム名,Item Name
headerPrice,header,値段(#1),Price(#1)
headerRecycle,header,回収資源,Resource
headerWeight,header,重量,Weight
listAssign,header,#1の住人,Residents in #1
listBuild,header,レシピの一覧,Recipes
listBedHolder,header,ベッドの所有者 (最大 #1),Bed Holders (Max #1)
listEmbark,header,移住する住人,Emigrants
listHire,header,移住希望者の一覧,Immigrants
listHomeResource,header,発展,Development
listResource,header,物資の一覧,Resources
name,header,名称,Name
product,header,製作物,Product
relation,header,関係,Relation
relationGod,header,人類との関係,Human Relation
saveDate,header,記録日時,Save Date
topics,header,トピック,Topics
type,header,タイプ,Type
weight2,header,重量,Weight
widgets,header,ウィジェットの一覧,Widgets
help,help,ヘルプ,Help
h_hang,hint,所持している収集品をここに飾ることができるよ,You can put one of your collectibles on display here.
h_LayerGacha,hint,たまには息抜きも必要ね,Sometimes you need a break. I suppose
h_LayerLoadGame,hint,どの冒険を再開する？,Which journey do you want to continue?
h_selectItem,hint,どのアイテムを対象にする？,Which item you want to target?
hintAnime,hint,"どの設定でもパフォーマンスに変化はありません。
カクンカクンしてた方がピクセルらしさが出てオススメです。","The setting doesn't affect performance but
Retro animation often looks better with pixel arts."
hintBuild,hint,建設するアイテムの選択,Choose an item to build
hintChild,hint,●ン※■して％★る※！,●ン□に☆％あ□●わ！
hintCreateArea,hint,作成するエリアの選択,Choose an area to create
hintEdgeScroll,hint,"設定を有効にすると、マウスカーソルが画面の端にある時に
画面がスクロールします。","When enabled, placing mouse cursor over screen edge
will scroll the game screen."
hintElonaUnique,hint,"設定を有効にすると、Elonaに登場したユニークキャラが
冒険者として登場します。
*初期メンバーにはあらわれません。","When enabled, unique characters from Elona will appear
as adventurers.
*Will not appear as an initial member."
hintFocus,hint,"ゲーム内で何らかのイベントが起こった際に
画面を自動的に移動（フォーカス）する、あるいはゲームを
ポーズさせることができます。","You can modify the options to automatically
move the game screen or pause the game when
a certain event occurs."
hintGraphicSpecial,hint,"(おまけ)通常の半分の解像度でレンダリングした後に、
SNESエミュレーターでよく使われるフィルターを適用し描画します。
通常はオフのままがいいかもしれません。
*オンの時、UIブラーエフェクトが無効になります。","(Freebie)Renders at half scale and applies filters often seen
on SNES emulators.
It is a special screen effect and it is turned off by default.
*When enabled, UI blur effect will be disabled."
hintMapSize,hint,"最初のマップのサイズはサンドボックスモードでのみ変更できます。
物語が進むとマップは拡張できます。","The initial map size can be only changed in sandbox mode.
Map can be expanded as you progress."
hintMoveTarget,hint,クリックで移動先を指定,Click the target location
hintPixelUI,hint,"設定を有効にするとUIをクッキリと描画します。
描画処理は少し重くなります。","Enabling the option can fix blurry texts and images on UI.
It can be slow on some system."
hintPlaymode,hint,"サンドボックスモードでは、初期マップを自由に選択できるようになります。
ただし、一部のクエストやアチーブメントが無効になります。","In sandbox mode, you will be able to choose the size of initial map.
However, some quests and achievements will be disabled."
hintPostEffect,hint,ブルームなどの画面効果のプロフィールを選べます。,You may enable screen effects like bloom and sharpening.
hintSelectEnd,hint,クリックで <I>範囲の決定</I>,Click to select<I>end point</I>
hintSelectSingle,hint,クリックで <I>対象地点の決定</I>,Click to select<I>target point</I>
hintSelectStart,hint,クリックで <I>範囲指定の開始</I>,Click to select <I>start point</I>
hintSupply,hint,"積荷のタイプによって、最初に所持しているアイテムや
メンバーの傾向が変わります。","Each loadout has a different set of initial equipment
and determines what kind of members you will start with."
h_relocate,hint_above,どの拠点を移転する？,Relocate which base?
h_hire,hint_above,誰と面会する？,Who do you want to interview with?
h_invBuy,hint_above,何を買う？,Buy what?
h_invIdentify,hint_above,何を鑑定する？,Identify what?
h_invSell,hint_above,何を売る？,Sell what?
h_LayerCraft,hint_above,何を作る？,What do you want to craft?
h_reserve,hint_above,誰を呼び戻す？,Who do you want to recall?
h_residents,hint_above,ここに住む住人の一覧ね,Here is the list of the residents living here.
h_revive,hint_above,誰を呼び戻す？,Who do you want to recall?
collectibleEffect,hoard,所持効果:,Effect:
collectibleTitle,hoard,#1 (所持: #2  表示中: #3),#1 (Owned: #2  Displaying: #3)
display,hoard,表示,Display
displayRandom,hoard,ランダム個数,Random Display
h_all,hoard,全て,All
h_junk,hoard,ガラクタ,Junk
h_lux,hoard,高級品,Luxury
h_room,hoard,部屋,Room
LayerHoard,hoard,宝物庫,Hoard
maxSounds,hoard,効果音数,Max Sounds
pixelPerfect,hoard,ピクセルパーフェクト,Pixel Perfect
respawn,hoard,リスポーン,Respawn
room,hoard,部屋,Room
voice,hoard,声,Voice
_hearth,home,+ #1 /日,+ #1 /day
areas,home,エリア,Areas
headerHomeReport,home,報告  -  #1年 #2,Reports  -  #2 Year.#1
listArea,home,エリア一覧,Area List
listSpot,home,スポット一覧,Spot List
report,home,報告書,Rundown
spots,home,スポット,Spots
toggle_shared,mod,ネットで共有,Share online
open_replace,mod,開く,Open
delete_replace,mod,削除,Delete
create_replace,mod,差し替え作成,Create Replacement
create_replaceLocal,mod,マップ限定の差し替え作成,Create In-Map Replacement
hintTextureReplace,mod,[カーソルキー] サイズの変更   [中央クリック] ズーム切り替え,[Cursor Keys] Change sprite size  [Middle Click] Toggle zoom
mod_order,mod,ロード順番,Load Order
mod_restart,mod,*変更を適用するために再起動が必要,*Restart required to apply changes.
mod_system,mod,デフォルトMod,Built-In Mods
mod_publish,mod,公開する,Publish
mod_created,mod,アイテムは正常に登録されました。Steam Workshopで必要な情報をさらに入力してください。,The item has been registered successfully. Please enter the necessary information in the Steam Workshop.
mod_updated,mod,アイテムは正常に更新されました。,The item has been updated successfully.
mod_publish_error,mod,アップロード中にエラーが発生しました。,An error occurred during the upload.
mod_info,mod,エクスプローラで開く,Open in explorer
mod_activate,mod,有効化,Activate
mod_deactivate,mod,無効化,Deactivate
mod_publish_warn,mod,"Steam Workshopで公開、もしくは更新します。

#1
(id) #2
By #3

このアイテムは、確かにあなたの製作物ですか？","You are going to publish or update the item on Steam Workshop.

#1
(id) #2
By #3

Please confirm this item is created by you."
alwaysShow,hotbar,折りたたみ中も表示,Visible when collapsed
alwaysShow2,hotbar,ビルドモードでも表示,Visible in build mode
anchor,hotbar,アンカー,Anchor
autoExpand,hotbar,マウスオーバーでメニューを開く,Auto expand menu
buildShortcuts,hotbar,ビルドショートカット,Build Shortcuts
changeIcon,hotbar,アイコンを変える,Change Icon
changeSpeed,hotbar,進行速度,Speed
dialogResetHotbar,hotbar,本当にこのホットバーのスロットをリセットする？,Really reset hotbar items?
doubleBar,hotbar,2列で表示,Double rows
findMember,,探す,Find
focusTo,hotbar,#2 #1,#2 #1
freeWill,hotbar,フリーウィル,Free Will
hotbars,hotbar,ホットバー,Hotbars
layerShortcuts,hotbar,ウィンドウショートカット,Window Shortcuts
menuShortcuts,hotbar,メニューショートカット,Menu Shortcuts
numSlot,hotbar,スロットの数,Slot Numbers
pivot,hotbar,ピボット,Pivot
hotActionEQSet,hotbar,現在の装備を記憶,Save Current Equipment Set
hotActionWidgetSet,hotbar,現在のウィジェットを記憶,Save Current Widget Set
registerPos,hotbar,現在位置を記憶,Save Current Position
removeHotItem,hotbar,ホットバーから登録を外す,Remove from hotbar
resetHotbar,hotbar,ホットバーをリセット,Reset Hotbar
reverseOrder,hotbar,表示順を反転,Reverse Order
s_log,hotbar,ログ切り替え,Toggle Log
s_page,hotbar,ホットバーのページ切り替え,Switch Hotbar Page
